local_timezone,timestamp,device_id,ssid,bssid,security,frequency,rssi,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
Europe/Berlin,1762737479678,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 02:17:59,2025-11-10,02:17:59,2,17,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737591411,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 02:19:51,2025-11-10,02:19:51,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737593446,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,WIFI Summit,44:4e:6d:2a:6d:3c,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2462,-44,2025-11-10 02:19:53,2025-11-10,02:19:53,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737593446,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Lord_Voldemodem,44:fe:3b:0b:cf:39,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2412,-85,2025-11-10 02:19:53,2025-11-10,02:19:53,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737593446,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,"Bedroom speaker.o,",fa:8f:ca:6f:49:5b,[ESS],2437,-35,2025-11-10 02:19:53,2025-11-10,02:19:53,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737593446,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,WIFI Summit,2c:91:ab:41:04:bc,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2462,-69,2025-11-10 02:19:53,2025-11-10,02:19:53,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737593446,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Netzwerk3,a0:f3:c1:75:0c:22,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2457,-85,2025-11-10 02:19:53,2025-11-10,02:19:53,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737593446,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,MagentaWLAN-LBSX,04:70:56:35:57:9e,[WPA2-PSK-CCMP-128][RSN-PSK+SAE-CCMP-128][ESS][WPS][MFPC],2462,-86,2025-11-10 02:19:53,2025-11-10,02:19:53,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737593446,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,WLAN-557400,38:e1:f4:1e:35:bf,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],5180,-73,2025-11-10 02:19:53,2025-11-10,02:19:53,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737593446,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,MagentaWLAN-YZ5L,54:b7:bd:2d:1b:ae,[WPA2-PSK-CCMP-128][RSN-PSK+SAE-CCMP-128][ESS][WPS][MFPC],2437,-84,2025-11-10 02:19:53,2025-11-10,02:19:53,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737593446,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,WLAN-557400,38:e1:f4:1e:35:be,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2437,-69,2025-11-10 02:19:53,2025-11-10,02:19:53,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737593446,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Amadeus2015,48:5d:35:1a:1a:20,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2432,-83,2025-11-10 02:19:53,2025-11-10,02:19:53,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737593446,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,JP Entertainment,98:9b:cb:78:8a:12,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2462,-84,2025-11-10 02:19:53,2025-11-10,02:19:53,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737822630,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 02:23:42,2025-11-10,02:23:42,2,23,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762738122668,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 02:28:42,2025-11-10,02:28:42,2,28,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762738422691,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 02:33:42,2025-11-10,02:33:42,2,33,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762738723647,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 02:38:43,2025-11-10,02:38:43,2,38,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762739022625,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 02:43:42,2025-11-10,02:43:42,2,43,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762739322658,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 02:48:42,2025-11-10,02:48:42,2,48,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762739622645,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 02:53:42,2025-11-10,02:53:42,2,53,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762739854622,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 02:57:34,2025-11-10,02:57:34,2,57,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762740182013,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 03:03:02,2025-11-10,03:03:02,3,3,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762740454614,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 03:07:34,2025-11-10,03:07:34,3,7,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762740754637,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 03:12:34,2025-11-10,03:12:34,3,12,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762741053625,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 03:17:33,2025-11-10,03:17:33,3,17,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762741353603,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 03:22:33,2025-11-10,03:22:33,3,22,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762741654628,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 03:27:34,2025-11-10,03:27:34,3,27,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762741886613,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 03:31:26,2025-11-10,03:31:26,3,31,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
