timestamp,device_id,bt_address,bt_name,bt_rssi
1762845079818,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6B:31:A2:AC:1D:6F,NA,-88
1762845082749,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:BD:A9:03:A6:C2,NA,-87
1762845761645,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:BD:A9:03:A6:C2,NA,-91
1762845762052,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4D:B6:8F:5D:B5:35,NA,-94
1762845762298,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5E:D2:45:B7:6E:96,NA,-73
1762845762314,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,84:25:3F:A3:1F:C2,mitte-home MH22340108,-88
1762845762361,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-100
1762845762768,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-100
1762845762990,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7A:C6:D7:DE:7B:40,Jabra Evolve2 65,-93
1762845766200,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,79:1A:20:6C:38:4D,NA,-85
1762845767458,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6B:31:A2:AC:1D:6F,NA,-91
1762845768741,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,55:3C:E3:12:1C:46,NA,-69
1762846650770,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-100
1762846651346,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5D:88:6F:3A:7B:25,NA,-66
1762846651605,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4D:52:D3:22:EB:A5,Jabra Evolve2 65,-80
1762846652237,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,71:2B:90:5F:E7:E4,NA,-91
1762846655519,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,50:1B:F0:EA:F6:20,NA,-88
1762846655537,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,58:CB:F6:85:B8:20,NA,-86
1762846657755,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,84:25:3F:A3:1F:C2,mitte-home MH22340108,-90
1762846951903,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5D:88:6F:3A:7B:25,NA,-65
1762846951946,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6D:15:04:E1:CB:6D,NA,-88
1762846952010,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,76:0C:AD:8C:EF:3A,NA,-86
1762846952339,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6E:D3:D9:8F:E2:89,NA,-82
1762846952600,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,84:25:3F:A3:1F:C2,mitte-home MH22340108,-90
1762846953945,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,71:2B:90:5F:E7:E4,NA,-87
1762846954122,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-100
1762846954514,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4D:52:D3:22:EB:A5,Jabra Evolve2 65,-76
1762846955847,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,69:A7:49:36:B4:5A,Jabra Evolve2 65,-80
1762846958072,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6C:46:35:52:96:7C,NA,-66
1762846958684,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,58:CB:F6:85:B8:20,NA,-88
1762847551977,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,59:E5:7B:C5:81:96,NA,-70
1762847552253,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,84:25:3F:A3:1F:C2,mitte-home MH22340108,-95
1762847552270,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,52:A0:BF:37:50:8C,NA,-84
1762847552290,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,98:04:ED:A2:3E:1C,S295b50867b2bc14bC,-91
