timestamp,device_id,ssid,bssid,security,frequency,rssi
1762742186767,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762742485601,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762742785582,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762743085580,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762743386580,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762743686613,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762743918581,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762744218578,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762744518597,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762744817171,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762745117582,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762745418614,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762745717545,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762745948168,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762746248570,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762746548575,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762746849546,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762747148570,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762747448522,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762747748594,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762747980536,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762748280522,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762748580546,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762748880559,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762749180546,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762749479522,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762749779587,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762750132532,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762750433547,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762750732549,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762751033523,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762751332525,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762751632517,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762751863506,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762752022548,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0
1762752025355,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Martin Router King,04:a2:22:28:de:b3,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2462,-85
1762752025355,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,WLAN-557400,38:e1:f4:1e:35:bf,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],5180,-72
1762752025355,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,WLAN-557400,38:e1:f4:1e:35:be,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2437,-74
1762752025355,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Amadeus2015,48:5d:35:1a:1a:20,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2432,-84
1762752025355,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Vodafone Homespot,f2:af:85:c6:b6:3f,[ESS],2437,-75
1762752025355,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,38:e1:f4:1e:35:c2,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],5180,-72
1762752025355,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,WIFI Summit,44:4e:6d:2a:6d:3c,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2462,-42
1762752025355,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,WIFI Summit,44:4e:6d:2a:6d:3d,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],5260,-41
