local_timezone,timestamp,device_id,screen_status,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
Europe/Berlin,1762754233442,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2025-11-10 06:57:13,2025-11-10,06:57:13,6,57,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[morning_RR0SS#2025-11-10 05:00:00,2025-11-10 12:00:00;1762747200000,1762772400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762756121889,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-11-10 07:28:41,2025-11-10,07:28:41,7,28,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[morning_RR0SS#2025-11-10 05:00:00,2025-11-10 12:00:00;1762747200000,1762772400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762756126542,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 07:28:46,2025-11-10,07:28:46,7,28,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[morning_RR0SS#2025-11-10 05:00:00,2025-11-10 12:00:00;1762747200000,1762772400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762756783767,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-11-10 07:39:43,2025-11-10,07:39:43,7,39,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[morning_RR0SS#2025-11-10 05:00:00,2025-11-10 12:00:00;1762747200000,1762772400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762756783790,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2025-11-10 07:39:43,2025-11-10,07:39:43,7,39,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[morning_RR0SS#2025-11-10 05:00:00,2025-11-10 12:00:00;1762747200000,1762772400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762757207342,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-11-10 07:46:47,2025-11-10,07:46:47,7,46,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[morning_RR0SS#2025-11-10 05:00:00,2025-11-10 12:00:00;1762747200000,1762772400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762757209988,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 07:46:49,2025-11-10,07:46:49,7,46,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[morning_RR0SS#2025-11-10 05:00:00,2025-11-10 12:00:00;1762747200000,1762772400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762757247204,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-11-10 07:47:27,2025-11-10,07:47:27,7,47,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[morning_RR0SS#2025-11-10 05:00:00,2025-11-10 12:00:00;1762747200000,1762772400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762757247224,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2025-11-10 07:47:27,2025-11-10,07:47:27,7,47,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[morning_RR0SS#2025-11-10 05:00:00,2025-11-10 12:00:00;1762747200000,1762772400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762757356892,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-11-10 07:49:16,2025-11-10,07:49:16,7,49,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[morning_RR0SS#2025-11-10 05:00:00,2025-11-10 12:00:00;1762747200000,1762772400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
