local_segment,local_segment_label,local_segment_start_datetime,local_segment_end_datetime,phone_bluetooth_rapids_countscans,phone_bluetooth_rapids_uniquedevices,phone_bluetooth_rapids_countscansmostuniquedevice,phone_bluetooth_doryab_countscansall,phone_bluetooth_doryab_uniquedevicesall,phone_bluetooth_doryab_meanscansall,phone_bluetooth_doryab_stdscansall,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsall,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsall,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetall,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsall,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsall,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetall,phone_bluetooth_doryab_countscansown,phone_bluetooth_doryab_uniquedevicesown,phone_bluetooth_doryab_meanscansown,phone_bluetooth_doryab_stdscansown,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsown,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsown,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetown,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsown,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsown,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetown,phone_bluetooth_doryab_countscansothers,phone_bluetooth_doryab_uniquedevicesothers,phone_bluetooth_doryab_meanscansothers,phone_bluetooth_doryab_stdscansothers,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsothers,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsothers,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetothers,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsothers,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsothers,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetothers,phone_calls_rapids_missed_count,phone_calls_rapids_missed_distinctcontacts,phone_calls_rapids_missed_timefirstcall,phone_calls_rapids_missed_timelastcall,phone_calls_rapids_missed_countmostfrequentcontact,phone_calls_rapids_incoming_count,phone_calls_rapids_incoming_distinctcontacts,phone_calls_rapids_incoming_meanduration,phone_calls_rapids_incoming_sumduration,phone_calls_rapids_incoming_minduration,phone_calls_rapids_incoming_maxduration,phone_calls_rapids_incoming_stdduration,phone_calls_rapids_incoming_modeduration,phone_calls_rapids_incoming_entropyduration,phone_calls_rapids_incoming_timefirstcall,phone_calls_rapids_incoming_timelastcall,phone_calls_rapids_incoming_countmostfrequentcontact,phone_calls_rapids_outgoing_count,phone_calls_rapids_outgoing_distinctcontacts,phone_calls_rapids_outgoing_meanduration,phone_calls_rapids_outgoing_sumduration,phone_calls_rapids_outgoing_minduration,phone_calls_rapids_outgoing_maxduration,phone_calls_rapids_outgoing_stdduration,phone_calls_rapids_outgoing_modeduration,phone_calls_rapids_outgoing_entropyduration,phone_calls_rapids_outgoing_timefirstcall,phone_calls_rapids_outgoing_timelastcall,phone_calls_rapids_outgoing_countmostfrequentcontact,phone_data_yield_rapids_ratiovalidyieldedminutes,phone_data_yield_rapids_ratiovalidyieldedhours,phone_locations_doryab_numberlocationtransitions,phone_locations_doryab_movingtostaticratio,phone_locations_doryab_timeattop3location,phone_locations_doryab_varspeed,phone_locations_doryab_normalizedlocationentropy,phone_locations_doryab_radiusgyration,phone_locations_doryab_minlengthstayatclusters,phone_locations_doryab_outlierstimepercent,phone_locations_doryab_locationvariance,phone_locations_doryab_locationentropy,phone_locations_doryab_avgspeed,phone_locations_doryab_loglocationvariance,phone_locations_doryab_maxlengthstayatclusters,phone_locations_doryab_numberofsignificantplaces,phone_locations_doryab_timeathome,phone_locations_doryab_stdlengthstayatclusters,phone_locations_doryab_avglengthstayatclusters,phone_locations_doryab_timeattop1location,phone_locations_doryab_totaldistance,phone_locations_doryab_timeattop2location,phone_locations_barnett_hometime,phone_locations_barnett_disttravelled,phone_locations_barnett_rog,phone_locations_barnett_maxdiam,phone_locations_barnett_maxhomedist,phone_locations_barnett_siglocsvisited,phone_locations_barnett_avgflightlen,phone_locations_barnett_stdflightlen,phone_locations_barnett_avgflightdur,phone_locations_barnett_stdflightdur,phone_locations_barnett_probpause,phone_locations_barnett_siglocentropy,phone_locations_barnett_circdnrtn,phone_locations_barnett_wkenddayrtn,phone_screen_rapids_countepisodeunlock,phone_screen_rapids_sumdurationunlock,phone_screen_rapids_maxdurationunlock,phone_screen_rapids_mindurationunlock,phone_screen_rapids_avgdurationunlock,phone_screen_rapids_stddurationunlock,phone_screen_rapids_firstuseafter00unlock,phone_wifi_visible_rapids_countscans,phone_wifi_visible_rapids_uniquedevices,phone_wifi_visible_rapids_countscansmostuniquedevice,phone_screen_rapids_countepisodeunlock_locmap_home,phone_screen_rapids_countepisodeunlock_locmap_study,phone_screen_rapids_countepisodeunlock_locmap_living,phone_screen_rapids_countepisodeunlock_locmap_exercise,phone_screen_rapids_countepisodeunlock_locmap_greens,phone_screen_rapids_sumdurationunlock_locmap_home,phone_screen_rapids_sumdurationunlock_locmap_study,phone_screen_rapids_sumdurationunlock_locmap_living,phone_screen_rapids_sumdurationunlock_locmap_exercise,phone_screen_rapids_sumdurationunlock_locmap_greens,phone_screen_rapids_avgdurationunlock_locmap_home,phone_screen_rapids_avgdurationunlock_locmap_study,phone_screen_rapids_avgdurationunlock_locmap_living,phone_screen_rapids_avgdurationunlock_locmap_exercise,phone_screen_rapids_avgdurationunlock_locmap_greens
"evening#2025-11-15 17:00:00,2025-11-15 22:00:00",evening,2025-11-15 17:00:00,2025-11-15 22:00:00,111,31,46,111,31,3.58064516129032,7.98237305379124,46,46,46,1,0,0,46,1,46.0,,46,46,46,46,46,0,65,30,2.16666666666667,1.3412123525798,7,7,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38331205951403,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,56.9869333333333,17.0807666666667,0.359966666666667,2.99931228070175,4.11234284074672,1021.41666666667,1092,26,,,,,,,,,,,,,,,,
"morning#2025-11-10 05:00:00,2025-11-10 12:00:00",morning,2025-11-10 05:00:00,2025-11-10 12:00:00,455,225,27,455,225,2.02222222222222,3.20775350357264,27,27,27,1,1,0,52,2,26.0,1.4142135623731,27,27,27,25,25,0,403,223,1.80717488789238,2.26877404703149,21,15,0,1,0,0,1.0,1.0,602.0,602.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.288083817629611,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,19.0750666666667,10.9535833333333,0.620266666666667,2.72500952380952,3.67023251159289,448.766666666667,1094,242,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,19.0750666666667,0.0,,,,2.7250095238095287,
"morning#2025-11-11 05:00:00,2025-11-11 12:00:00",morning,2025-11-11 05:00:00,2025-11-11 12:00:00,536,288,26,536,288,1.86111111111111,3.14151944220146,36,26,26,1,0,0,48,2,24.0,2.82842712474619,26,26,26,22,22,0,488,286,1.70629370629371,2.53904849654746,36,36,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.280941243638794,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15.6329833333333,15.3777166666667,0.255266666666667,7.81649166666667,10.6931869431545,444.783333333333,1366,370,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.6329833333333,0.0,,,,7.81649166666665,
"morning#2025-11-12 05:00:00,2025-11-12 12:00:00",morning,2025-11-12 05:00:00,2025-11-12 12:00:00,491,270,24,491,270,1.81851851851852,2.80341494315807,24,24,24,1,0,0,45,2,22.5,2.12132034355964,24,24,24,21,21,0,446,268,1.66417910447761,2.16178602069264,22,21,0,1,0,0,1.0,1.0,647.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.288083817629611,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10.0489666666667,9.62283333333333,0.426133333333333,5.02448333333333,6.50304893453832,448.783333333333,1451,377,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0489666666667,0.0,,,,5.02448333333335,
"morning#2025-11-13 05:00:00,2025-11-13 12:00:00",morning,2025-11-13 05:00:00,2025-11-13 12:00:00,450,250,23,450,250,1.8,2.93709142249546,37,23,23,1,0,0,43,2,21.5,2.12132034355964,23,23,23,20,20,0,407,248,1.64112903225806,2.3474169487889,37,37,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271417811651038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,25.2158666666667,11.3429166666667,0.967333333333333,5.04317333333333,4.54284743052502,445.283333333333,1571,471,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.2158666666667,0.0,,,,5.04317333333334,
"morning#2025-11-14 05:00:00,2025-11-14 12:00:00",morning,2025-11-14 05:00:00,2025-11-14 12:00:00,287,173,20,287,173,1.65895953757225,2.41468209270255,26,20,20,1,0,0,46,2,23.0,4.24264068711928,26,20,20,20,26,0,241,171,1.4093567251462,0.610424294288365,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295226391620427,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13.9958333333333,8.20635,0.09745,2.79916666666667,3.43976792266652,410.583333333333,1566,407,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,13.9958333333333,0.0,,,,2.79916666666666,
"morning#2025-11-15 05:00:00,2025-11-15 12:00:00",morning,2025-11-15 05:00:00,2025-11-15 12:00:00,99,40,0,99,40,2.475,1.72444714291797,10,0,0,1,0,0,0,0,0.0,,0,0,0,0,0,0,99,40,2.475,1.72444714291797,10,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252370947675527,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,79.1910666666666,50.1205666666666,1.25778333333333,13.1985111111111,18.54410321685,603.066666666667,484,35,,,,,,,,,,,,,,,,
"morning#2025-11-16 05:00:00,2025-11-16 12:00:00",morning,2025-11-16 05:00:00,2025-11-16 12:00:00,91,53,0,91,53,1.71698113207547,1.59780328155885,12,0,0,1,0,0,0,0,0.0,,0,0,0,0,0,0,91,53,1.71698113207547,1.59780328155885,12,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254751805672466,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,125.575316666667,115.9386,2.61176666666667,31.3938291666667,56.3668145803604,523.016666666667,582,19,,,,,,,,,,,,,,,,
"night#2025-11-10 22:00:00,2025-11-11 05:00:00",night,2025-11-10 22:00:00,2025-11-11 05:00:00,141,60,0,141,60,2.35,5.53517258928937,44,0,0,1,0,0,0,0,0.0,,0,0,0,0,0,0,141,60,2.35,5.53517258928937,44,44,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228562367706137,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,57.7029166666666,57.7029166666666,57.7029166666666,57.7029166666666,,1320.0,284,18,,,,,,,,,,,,,,,,
"night#2025-11-11 22:00:00,2025-11-12 05:00:00",night,2025-11-11 22:00:00,2025-11-12 05:00:00,108,55,0,108,55,1.96363636363636,1.03572548135463,6,0,0,1,0,0,0,0,0.0,,0,0,0,0,0,0,108,55,1.96363636363636,1.03572548135463,6,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228562367706137,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60.3386,60.3386,60.3386,60.3386,,1321.03333333333,315,20,,,,,,,,,,,,,,,,
"night#2025-11-12 22:00:00,2025-11-13 05:00:00",night,2025-11-12 22:00:00,2025-11-13 05:00:00,140,68,0,140,68,2.05882352941176,1.10470301190534,7,0,0,1,0,0,0,0,0.0,,0,0,0,0,0,0,140,68,2.05882352941176,1.10470301190534,7,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235704941696954,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,72.19225,72.19225,72.19225,72.19225,,1320.0,342,18,,,,,,,,,,,,,,,,
"night#2025-11-13 22:00:00,2025-11-14 05:00:00",night,2025-11-13 22:00:00,2025-11-14 05:00:00,115,64,0,115,64,1.796875,0.759692659243155,4,0,0,1,0,0,0,0,0.0,,0,0,0,0,0,0,115,64,1.796875,0.759692659243155,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221419793715321,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36.3566,36.3566,36.3566,36.3566,,1320.0,258,20,,,,,,,,,,,,,,,,
"night#2025-11-14 22:00:00,2025-11-15 05:00:00",night,2025-11-14 22:00:00,2025-11-15 05:00:00,163,62,50,163,62,2.62903225806452,6.23378912997345,50,50,50,1,0,0,50,1,50.0,,50,50,50,50,50,0,113,61,1.85245901639344,1.22251197095394,7,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264275237660221,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,84.3247166666666,50.93735,0.520366666666667,7.66588333333333,14.8852794395783,1320.0,468,22,,,,,,,,,,,,,,,,
"night#2025-11-15 22:00:00,2025-11-16 05:00:00",night,2025-11-15 22:00:00,2025-11-16 05:00:00,117,67,27,117,67,1.74626865671642,3.28145978039749,27,27,27,1,1,0,27,1,27.0,,27,27,27,27,27,0,90,66,1.36363636363636,0.986623825693751,8,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247609231681649,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,94.2729166666666,85.7744833333333,1.73666666666667,31.4243055555555,47.1356476126035,1337.95,612,19,,,,,,,,,,,,,,,,
"wkdy#2025-11-10 00:00:00,2025-11-15 00:00:00",wkdy,2025-11-10 00:00:00,2025-11-15 00:00:00,5911,3161,236,5911,3161,1.86997785510914,7.5553560702068,236,236,236,1,1,1,460,2,230.0,8.48528137423857,236,236,236,224,224,0,5451,3159,1.72554605887939,4.91082764200982,173,173,0,1,1,1,4.0,3.0,602.0,647.0,2.0,3.0,2.0,64.0,192.0,33.0,112.0,42.154477816716,33.0,0.96679974497665,993.0,1057.0,2.0,3.0,3.0,21.3333333333333,64.0,6.0,46.0,21.5715862498179,46.0,0.788774632557755,988.0,1013.0,1.0,0.296249314923459,0.0333332562501783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,973.421033333333,104.706516666667,0.0402666666666667,6.95300738095238,13.9878325141013,448.766666666667,10000,1207,,21.0752688172043,0.0,0.0,118.9247311827957,0.0,146.536499641577,0.0,0.0,826.884533691756,0.0,6.9530073809523785,,,6.953007380952379,
"wkend#2025-11-15 00:00:00,2025-11-17 00:00:00",wkend,2025-11-15 00:00:00,2025-11-17 00:00:00,736,413,73,736,413,1.78208232445521,4.24275150269193,73,73,73,1,1,0,73,1,73.0,,73,73,73,73,73,0,663,412,1.60922330097087,2.38205218903377,47,47,0,1,1,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,1.0,81.0,81.0,81.0,81.0,,81.0,0.0,737.0,737.0,1.0,0.231595883308522,0.0208332128913213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,491.152033333333,115.9386,0.0861166666666667,6.54869377777778,17.3544838413904,0.0,6735,1117,,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,491.152033333333,0.0,,,,6.548693777777774,
