pid,date,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:afternoon,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:allday,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:evening,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:morning,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:night,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:wkdy,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:wkend,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:afternoon,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:allday,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:evening,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:morning,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:night,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:wkdy,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:wkend,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:7dhist,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:14dhist,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:7dhist,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:14dhist
P001,2025-10-13,0.989945058049278,0.895128538965157,0.993278206392878,0.952343198775572,0.971390062751084,0.839581391801365,,0.999944503080079,0.916656067830882,0.999944503080079,0.999960358714351,0.999960358714351,0.85833134844209,,0.895128538965157,0.895128538965157,0.916656067830882,0.916656067830882
P001,2025-10-14,0.976612464674877,0.977766472352941,0.979945613018477,0.983294352735778,0.990436926726595,,,0.999944503080079,0.99998843763369,0.999944503080079,0.999960358714351,0.999960358714351,,,0.936447505659049,0.936447505659049,0.958322252732286,0.958322252732286
P001,2025-10-15,0.989945058049278,0.975683163107871,0.966613019644076,0.95710491476945,0.990436926726595,,,0.999944503080079,0.99998843763369,0.999944503080079,0.999960358714351,0.999960358714351,,,0.9495260581419896,0.9495260581419896,0.972210981032754,0.972210981032754
P001,2025-10-16,0.999944503080079,0.984016400088152,0.996611354736479,0.95710491476945,0.997579500717412,,,0.999944503080079,0.99998843763369,0.999944503080079,0.999960358714351,0.999960358714351,,,0.9581486436285302,0.9581486436285302,0.979155345182988,0.979155345182988
P001,2025-10-17,0.75329152565366,0.765268929355782,0.38331205951403,0.997579500717412,0.278560385641855,,,0.799955602464063,0.708325143323864,0.199988900616016,0.999960358714351,0.0,,,0.9195727007739803,0.9195727007739803,0.9249893048111631,0.9249893048111631
P001,2025-10-18,0.37997891117043,0.307635331855364,0.333314834360026,0.271417811651038,0.264275237660221,,0.301039926279593,0.0,0.0,0.0,0.0,0.0,,0.0208332128913213,0.8175831392875446,0.8175831392875446,0.7708244206759693,0.7708244206759693
P001,2025-10-19,0.326648537672826,0.29444103996992,0.336647982703627,0.273798669647977,0.154755769801031,,,0.0,0.0416661849014037,0.0,0.142851479816336,0.0,,,0.742848553670741,0.742848553670741,0.6666589584224599,0.6666589584224599
P001,2025-10-20,0.393311504544831,0.289579985064756,0.353313724421628,0.273798669647977,0.257132663669405,0.294304874975532,,0.0,0.0,0.0,0.0,0.0,0.0083333140625445,,0.289579985064756,0.289579985064756,0.0,0.0
P001,2025-10-21,0.336647982703627,0.301385404120154,0.363313169452429,0.261894379663282,0.257132663669405,,,0.0,0.0416661849014037,0.199988900616016,0.0,0.0,,,0.295482694592455,0.295482694592455,0.0208330924507018,0.0208330924507018
P001,2025-10-22,0.353313724421628,0.287496675819686,0.313315944298425,0.261894379663282,0.249990089678588,,,0.0,0.0,0.0,0.0,0.0,,,0.2928206883348653,0.2928206883348653,0.0138887283004678,0.0138887283004678
