"local_segment","local_segment_label","local_segment_start_datetime","local_segment_end_datetime","phone_bluetooth_rapids_countscans","phone_bluetooth_rapids_uniquedevices","phone_bluetooth_rapids_countscansmostuniquedevice"
"daily#2025-09-30 00:00:00,2025-09-30 23:59:59","daily","2025-09-30 00:00:00","2025-09-30 23:59:59",1399,331,509
"daily#2025-10-01 00:00:00,2025-10-01 23:59:59","daily","2025-10-01 00:00:00","2025-10-01 23:59:59",4018,1257,441
"daily#2025-10-02 00:00:00,2025-10-02 23:59:59","daily","2025-10-02 00:00:00","2025-10-02 23:59:59",1467,150,679
"daily#2025-10-03 00:00:00,2025-10-03 23:59:59","daily","2025-10-03 00:00:00","2025-10-03 23:59:59",969,211,353
"daily#2025-10-04 00:00:00,2025-10-04 23:59:59","daily","2025-10-04 00:00:00","2025-10-04 23:59:59",2807,331,694
"daily#2025-10-05 00:00:00,2025-10-05 23:59:59","daily","2025-10-05 00:00:00","2025-10-05 23:59:59",2918,417,586
"daily#2025-10-06 00:00:00,2025-10-06 23:59:59","daily","2025-10-06 00:00:00","2025-10-06 23:59:59",2299,639,613
"daily#2025-10-07 00:00:00,2025-10-07 23:59:59","daily","2025-10-07 00:00:00","2025-10-07 23:59:59",3560,1390,631
"daily#2025-10-08 00:00:00,2025-10-08 23:59:59","daily","2025-10-08 00:00:00","2025-10-08 23:59:59",244,169,20
