"local_segment","local_segment_label","local_segment_start_datetime","local_segment_end_datetime","phone_wifi_visible_rapids_countscans","phone_wifi_visible_rapids_uniquedevices","phone_wifi_visible_rapids_countscansmostuniquedevice"
"daily#2025-09-30 00:00:00,2025-09-30 23:59:59","daily","2025-09-30 00:00:00","2025-09-30 23:59:59",6769,146,601
"daily#2025-10-01 00:00:00,2025-10-01 23:59:59","daily","2025-10-01 00:00:00","2025-10-01 23:59:59",11020,519,898
"daily#2025-10-02 00:00:00,2025-10-02 23:59:59","daily","2025-10-02 00:00:00","2025-10-02 23:59:59",3637,87,271
"daily#2025-10-03 00:00:00,2025-10-03 23:59:59","daily","2025-10-03 00:00:00","2025-10-03 23:59:59",6971,101,622
"daily#2025-10-04 00:00:00,2025-10-04 23:59:59","daily","2025-10-04 00:00:00","2025-10-04 23:59:59",10949,185,892
"daily#2025-10-05 00:00:00,2025-10-05 23:59:59","daily","2025-10-05 00:00:00","2025-10-05 23:59:59",11801,105,1010
"daily#2025-10-06 00:00:00,2025-10-06 23:59:59","daily","2025-10-06 00:00:00","2025-10-06 23:59:59",17451,251,1501
"daily#2025-10-07 00:00:00,2025-10-07 23:59:59","daily","2025-10-07 00:00:00","2025-10-07 23:59:59",14433,1308,818
"daily#2025-10-08 00:00:00,2025-10-08 23:59:59","daily","2025-10-08 00:00:00","2025-10-08 23:59:59",5159,150,394
