_id,timestamp,device_id,bssid,ssid,security,frequency,rssi,label
353630,1762743686613.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353631,1762743918581.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353632,1762744218578.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353633,1762744518597.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353634,1762744817171.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353635,1762745117582.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353636,1762745418614.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353637,1762745717545.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353638,1762745948168.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353639,1762746248570.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353640,1762746548575.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353641,1762746849546.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353642,1762747148570.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353643,1762747448522.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353644,1762747748594.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353645,1762747980536.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353646,1762748280522.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353647,1762748580546.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353648,1762748880559.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353649,1762749180546.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353650,1762749479522.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353651,1762749779587.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353652,1762750132532.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353653,1762750433547.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353654,1762750732549.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353655,1762751033523.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353656,1762751332525.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353657,1762751632517.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353658,1762751863506.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353659,1762752022548.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,,,,0,0,disabled
353660,1762752025355.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,04:a2:22:28:de:b3,Martin Router King,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2462,-85,
353661,1762752025355.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,38:e1:f4:1e:35:bf,WLAN-557400,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],5180,-72,
353662,1762752025355.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,38:e1:f4:1e:35:be,WLAN-557400,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2437,-74,
353663,1762752025355.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,48:5d:35:1a:1a:20,Amadeus2015,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2432,-84,
353664,1762752025355.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,f2:af:85:c6:b6:3f,Vodafone Homespot,[ESS],2437,-75,
353665,1762752025355.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,38:e1:f4:1e:35:c2,,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],5180,-72,
353666,1762752025355.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,44:4e:6d:2a:6d:3c,WIFI Summit,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2462,-42,
353667,1762752025355.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,44:4e:6d:2a:6d:3d,WIFI Summit,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],5260,-41,
353668,1762752025355.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,44:fe:3b:0b:cf:39,Lord_Voldemodem,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2412,-81,
353669,1762752025355.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,fa:8f:ca:6f:49:5b,"Bedroom speaker.o,",[ESS],2437,-40,
