_id,timestamp,device_id,double_latitude,double_longitude,double_bearing,double_speed,double_altitude,provider,accuracy,label
586944,1762757334851.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24196501,6.94241495,112.30000305175781,3.9600000381469727,243.74591064453125,gps,7.45519,
586945,1762757538917.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24453261,6.94270419,272.1000061035156,0.7799999713897705,256.425048828125,gps,8.53475,
586946,1762757718918.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24493569,6.93968942,288.8999938964844,1.0499999523162842,264.27825927734375,gps,9.51058,
586947,1762758218929.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24625164,6.93916815,305.29998779296875,1.1699999570846558,185.93585205078125,gps,38.6782,
586948,1762788692950.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24496314,6.94005286,88.80000305175781,1.0099999904632568,255.4383544921875,gps,5.55376,
586949,1762788873772.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24428331,6.94263386,178.8000030517578,1.1299999952316284,244.53009033203125,gps,5.12166,
586950,1762789086066.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24251153,6.94080617,314.29998779296875,1.149999976158142,252.22265625,gps,5.06518,
586951,1762789265328.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24233973,6.93737184,255.60000610351562,1.149999976158142,244.4793701171875,gps,5.64185,
586952,1762793055750.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.2424203,6.9362999,0.0,0.0,251.90000915527344,network,15.852,
586953,1762793055776.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.2424203,6.9362999,0.0,0.0,251.90000915527344,network,1050.88,
586954,1762793801960.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.2424189,6.9362936,0.0,0.0,251.90000915527344,network,290.259,
586955,1762793907262.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24250372,6.93608775,175.10000610351562,1.6299999952316284,254.75164794921875,gps,111.164,
586956,1762843633111.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.2426366,6.94051902,97.0999984741211,1.0399999618530273,260.29913330078125,gps,5.92711,
586957,1762843992110.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24492835,6.94237348,357.70001220703125,0.699999988079071,266.595458984375,gps,6.29451,
586958,1762844219993.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24527461,6.93932038,291.6000061035156,1.2699999809265137,250.55322265625,gps,8.27499,
586959,1762854500972.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24689171,6.93920993,0.0,0.0,335.69921875,gps,50.8872,
586960,1762875151370.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24535643,6.9393048,191.89999389648438,0.9100000262260437,261.1466064453125,gps,5.44847,
586961,1762875343932.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24503082,6.94229296,88.5999984741211,1.2200000286102295,239.70391845703125,gps,9.63222,
586962,1762875510927.0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49.24492517,6.94448073,83.5999984741211,0.38999998569488525,255.410888671875,gps,4.1191,
