local_segment,local_segment_label,local_segment_start_datetime,local_segment_end_datetime,phone_screen_rapids_countepisodeunlock,phone_screen_rapids_sumdurationunlock,phone_screen_rapids_maxdurationunlock,phone_screen_rapids_mindurationunlock,phone_screen_rapids_avgdurationunlock,phone_screen_rapids_stddurationunlock,phone_screen_rapids_firstuseafter00unlock
"daily#2025-09-30 00:00:00,2025-09-30 23:59:59",daily,2025-09-30 00:00:00,2025-09-30 23:59:59,10.0,335.5078333333332,112.64251666666662,0.20045,33.55078333333332,40.060049962993425,889.0666666666667
"daily#2025-10-01 00:00:00,2025-10-01 23:59:59",daily,2025-10-01 00:00:00,2025-10-01 23:59:59,35.0,404.0654166666666,132.21981666666665,0.09701666666666667,11.544726190476188,24.58002901265235,564.4
"daily#2025-10-02 00:00:00,2025-10-02 23:59:59",daily,2025-10-02 00:00:00,2025-10-02 23:59:59,6.0,755.2532500000008,581.8359500000008,14.09398333333333,125.87554166666679,224.5253987604491,631.2
"daily#2025-10-03 00:00:00,2025-10-03 23:59:59",daily,2025-10-03 00:00:00,2025-10-03 23:59:59,10.0,1221.0467666666789,822.199400000011,0.1483,122.10467666666788,256.6493460761568,0.0
"daily#2025-10-04 00:00:00,2025-10-04 23:59:59",daily,2025-10-04 00:00:00,2025-10-04 23:59:59,25.0,363.1784999999999,72.55579999999998,0.07146666666666666,14.527139999999996,18.735474173982308,599.5
"daily#2025-10-05 00:00:00,2025-10-05 23:59:59",daily,2025-10-05 00:00:00,2025-10-05 23:59:59,24.0,392.3071666666666,100.56874999999997,0.083,16.34613194444444,22.0092650506844,2.95
"daily#2025-10-06 00:00:00,2025-10-06 23:59:59",daily,2025-10-06 00:00:00,2025-10-06 23:59:59,32.0,398.90889999999996,89.96356666666664,0.07196666666666666,12.465903124999999,16.871809703739583,0.0
"daily#2025-10-07 00:00:00,2025-10-07 23:59:59",daily,2025-10-07 00:00:00,2025-10-07 23:59:59,42.0,478.0575999999999,64.71021666666664,0.034,11.382323809523808,15.976335959744747,0.0
"daily#2025-10-08 00:00:00,2025-10-08 23:59:59",daily,2025-10-08 00:00:00,2025-10-08 23:59:59,9.0,137.22746666666666,57.55739999999997,0.07425,15.247496296296296,17.891788272944467,659.2
