local_timezone,timestamp,device_id,screen_status,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
Europe/Berlin,1759244338255,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2025-09-30 16:58:58,2025-09-30,16:58:58,16,58,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759248795898,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-09-30 18:13:15,2025-09-30,18:13:15,18,13,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759248797430,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-09-30 18:13:17,2025-09-30,18:13:17,18,13,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759249436284,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-09-30 18:23:56,2025-09-30,18:23:56,18,23,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759249465962,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-09-30 18:24:25,2025-09-30,18:24:25,18,24,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759249473962,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-09-30 18:24:33,2025-09-30,18:24:33,18,24,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759256232625,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-09-30 20:17:12,2025-09-30,20:17:12,20,17,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759256232641,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2025-09-30 20:17:12,2025-09-30,20:17:12,20,17,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759256535141,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-09-30 20:22:15,2025-09-30,20:22:15,20,22,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759256536783,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-09-30 20:22:16,2025-09-30,20:22:16,20,22,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759256536790,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2025-09-30 20:22:16,2025-09-30,20:22:16,20,22,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759256544790,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-09-30 20:22:24,2025-09-30,20:22:24,20,22,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759256545439,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-09-30 20:22:25,2025-09-30,20:22:25,20,22,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759257153367,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-09-30 20:32:33,2025-09-30,20:32:33,20,32,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759262235957,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-09-30 21:57:15,2025-09-30,21:57:15,21,57,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759262242285,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-09-30 21:57:22,2025-09-30,21:57:22,21,57,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759262242296,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2025-09-30 21:57:22,2025-09-30,21:57:22,21,57,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759262550893,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-09-30 22:02:30,2025-09-30,22:02:30,22,2,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759262551635,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-09-30 22:02:31,2025-09-30,22:02:31,22,2,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759262563662,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-09-30 22:02:43,2025-09-30,22:02:43,22,2,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759262563673,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2025-09-30 22:02:43,2025-09-30,22:02:43,22,2,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759262689452,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-09-30 22:04:49,2025-09-30,22:04:49,22,4,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759262691280,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-09-30 22:04:51,2025-09-30,22:04:51,22,4,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759268157690,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-09-30 23:35:57,2025-09-30,23:35:57,23,35,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759268157694,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2025-09-30 23:35:57,2025-09-30,23:35:57,23,35,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759268586491,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-09-30 23:43:06,2025-09-30,23:43:06,23,43,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759268590409,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-09-30 23:43:10,2025-09-30,23:43:10,23,43,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759268590420,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2025-09-30 23:43:10,2025-09-30,23:43:10,23,43,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759291409564,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-10-01 06:03:29,2025-10-01,06:03:29,6,3,"[daily_RR0SS#2025-10-01 00:00:00,2025-10-01 23:59:59;1759269600000,1759355999999]"
Europe/Berlin,1759303404553,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-10-01 09:23:24,2025-10-01,09:23:24,9,23,"[daily_RR0SS#2025-10-01 00:00:00,2025-10-01 23:59:59;1759269600000,1759355999999]"
Europe/Berlin,1759303404567,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2025-10-01 09:23:24,2025-10-01,09:23:24,9,23,"[daily_RR0SS#2025-10-01 00:00:00,2025-10-01 23:59:59;1759269600000,1759355999999]"
Europe/Berlin,1759303430854,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-10-01 09:23:50,2025-10-01,09:23:50,9,23,"[daily_RR0SS#2025-10-01 00:00:00,2025-10-01 23:59:59;1759269600000,1759355999999]"
