"episode_id","episode","device_id","screen_sequence","start_timestamp","end_timestamp","timestamp"
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238036069,1759238096068,1759238036069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238036069,1759238096068,1759238096068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238096069,1759238156068,1759238096069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238096069,1759238156068,1759238156068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238156069,1759238216068,1759238156069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238156069,1759238216068,1759238216068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238216069,1759238276068,1759238216069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238216069,1759238276068,1759238276068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238276069,1759238336068,1759238276069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238276069,1759238336068,1759238336068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238336069,1759238396068,1759238336069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238336069,1759238396068,1759238396068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238396069,1759238456068,1759238396069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238396069,1759238456068,1759238456068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238456069,1759238516068,1759238456069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238456069,1759238516068,1759238516068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238516069,1759238576068,1759238516069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238516069,1759238576068,1759238576068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238576069,1759238636068,1759238576069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238576069,1759238636068,1759238636068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238636069,1759238696068,1759238636069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238636069,1759238696068,1759238696068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238696069,1759238756068,1759238696069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238696069,1759238756068,1759238756068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238756069,1759238816068,1759238756069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238756069,1759238816068,1759238816068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238816069,1759238876068,1759238816069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238816069,1759238876068,1759238876068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238876069,1759238936068,1759238876069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238876069,1759238936068,1759238936068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238936069,1759238996068,1759238936069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238936069,1759238996068,1759238996068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238996069,1759239056068,1759238996069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759238996069,1759239056068,1759239056068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239056069,1759239116068,1759239056069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239056069,1759239116068,1759239116068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239116069,1759239176068,1759239116069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239116069,1759239176068,1759239176068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239176069,1759239236068,1759239176069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239176069,1759239236068,1759239236068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239236069,1759239296068,1759239236069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239236069,1759239296068,1759239296068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239296069,1759239356068,1759239296069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239296069,1759239356068,1759239356068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239356069,1759239416068,1759239356069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239356069,1759239416068,1759239416068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239416069,1759239476068,1759239416069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239416069,1759239476068,1759239476068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239476069,1759239536068,1759239476069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239476069,1759239536068,1759239536068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239536069,1759239596068,1759239536069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239536069,1759239596068,1759239596068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239596069,1759239656068,1759239596069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239596069,1759239656068,1759239656068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239656069,1759239716068,1759239656069
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239656069,1759239716068,1759239716068
7,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1759239716069,1759239776068,1759239716069
