local_timezone,timestamp,device_id,sensor,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
Europe/Berlin,1762735747000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 01:49:07,2025-11-10,01:49:07,1,49,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762735748000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 01:49:08,2025-11-10,01:49:08,1,49,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762735978000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 01:52:58,2025-11-10,01:52:58,1,52,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762736279000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 01:57:59,2025-11-10,01:57:59,1,57,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762736280000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 01:58:00,2025-11-10,01:58:00,1,58,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762736579000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 02:02:59,2025-11-10,02:02:59,2,2,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762736878000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 02:07:58,2025-11-10,02:07:58,2,7,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762736880000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 02:08:00,2025-11-10,02:08:00,2,8,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737179000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 02:12:59,2025-11-10,02:12:59,2,12,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737479000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 02:17:59,2025-11-10,02:17:59,2,17,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
