"episode_id","episode","device_id","screen_sequence","start_timestamp","end_timestamp","timestamp"
58,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788536356,1762788596355,1762788536356
58,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788536356,1762788596355,1762788596355
58,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788596356,1762788656355,1762788596356
58,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788596356,1762788656355,1762788656355
58,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788656356,1762788716355,1762788656356
58,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788656356,1762788716355,1762788716355
58,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788716356,1762788731213,1762788716356
58,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788716356,1762788731213,1762788731213
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788738194,1762788798193,1762788738194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788738194,1762788798193,1762788798193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788798194,1762788858193,1762788798194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788798194,1762788858193,1762788858193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788858194,1762788918193,1762788858194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788858194,1762788918193,1762788918193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788918194,1762788978193,1762788918194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788918194,1762788978193,1762788978193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788978194,1762789038193,1762788978194
