"timestamp","device_id","sensor"
1762744519000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762744817000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",4
1762745117000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762745118000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762745123000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762745418000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",4
1762745717000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762745718000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762745721000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762745948000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",4
1762746131000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",1
1762746133000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",1
1762746248000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",4
1762746548000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762746549000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762746849000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",4
1762747148000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",4
1762747149000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762747150000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762747152000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762747448000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",4
1762747748000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762747980000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",4
1762748280000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",4
1762748281000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762748580000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",4
1762748880000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762748886000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762749180000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",4
1762749479000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",4
1762749480000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762749486000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
1762749779000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",4
1762750132000,"0adab909-eb8f-4baf-9eed-7a4cc889cb7c",3
