"episode_id","episode","device_id","screen_sequence","start_timestamp","end_timestamp"
242,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762962766620,1762963069777
245,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762963205066,1762963749022
248,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762963794406,1762963816812
251,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762963838701,1762964088647
258,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762964246899,1762964251468
273,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762966009040,1762966062136
276,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762966067435,1762966080004
279,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762966260271,1762966781720
282,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762967206063,1762967303237
285,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762967725694,1762969535945
290,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762969949264,1762970017246
294,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762970620170,1762970680188
297,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762972235663,1762972592240
300,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762974995221,1762975010704
303,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762975480423,1762976003572
306,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762976798959,1762976967744
309,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762977120430,1762977131383
312,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762978663762,1762978749443
315,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762979249112,1762985531607
322,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763015117077,1763015175117
325,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763015231736,1763015709571
328,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763015755764,1763015993896
331,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763016106888,1763016787474
336,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763022983607,1763023041987
339,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763034051257,1763034169675
342,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763034193151,1763034290837
345,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763034296825,1763034313358
348,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763034318548,1763034519429
353,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763034751565,1763034757157
366,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763037928333,1763037934362
369,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763038046460,1763038454998
374,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763046994054,1763047016444
379,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763047332651,1763048566245
382,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763048634611,1763049444680
385,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763051495529,1763051619449
388,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763052022906,1763052154260
391,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763052676591,1763052827997
394,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763053238928,1763053428408
397,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763053847170,1763054022123
400,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763054549762,1763054651195
403,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763055110086,1763055222994
406,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763055877793,1763057985093
409,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763060452540,1763060983446
412,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763062878002,1763063330704
415,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763064042175,1763064311931
418,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763064924788,1763065083107
421,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763065379732,1763065479026
424,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763065734517,1763069781432
431,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763099435385,1763099445069
436,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763102040919,1763102533308
439,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763103801934,1763103807781
442,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763104380645,1763104463524
445,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763108933222,1763109182186
448,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763119772004,1763119890243
453,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763120073834,1763120088185
458,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763120698582,1763120707342
463,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763129208048,1763129284592
467,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763133929975,1763134215310
474,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763134816383,1763136731700
478,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763136799370,1763138367773
481,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763138811149,1763139053115
484,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763141211177,1763141485178
487,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763142070161,1763142193289
490,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763142685324,1763142819147
493,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763143224437,1763143405518
496,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763143764108,1763143991046
501,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763148218318,1763148321638
504,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763148524581,1763148633683
508,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763150440894,1763150588266
511,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763150603976,1763150854751
517,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763153338654,1763154031222
520,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763154534195,1763154589475
523,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763154705657,1763155036453
526,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763155810571,1763155843177
529,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763156521572,1763156573837
532,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763156737962,1763156926354
535,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763157367019,1763157559937
538,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763157863515,1763157909783
541,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763158267348,1763158492024
544,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763158538573,1763159387420
547,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763159491180,1763162547471
560,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763197384835,1763200392119
563,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763202119059,1763202623892
566,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763202703058,1763202778526
569,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763202884534,1763203029824
572,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763203275159,1763203551346
575,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763203658520,1763204642773
578,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763204675621,1763204900626
581,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763205382752,1763205656037
584,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763205678125,1763205859640
587,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763206594917,1763206619716
590,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763206901757,1763206914197
595,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763207807561,1763207904001
598,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763208002155,1763208071172
604,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763208223847,1763208257727
607,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763208336220,1763208449037
610,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763208464675,1763209033343
613,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763209159148,1763209186324
616,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763209597157,1763209714938
619,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763209760637,1763210250929
622,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763210362084,1763210382063
625,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763210405499,1763210811715
628,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763211140451,1763211168356
631,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763211372677,1763211378099
634,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763211504213,1763211524993
637,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763211581031,1763211587024
640,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763211978307,1763212018772
643,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763212032868,1763212042788
646,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763212070788,1763212075955
652,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763212424046,1763212431960
655,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763212440949,1763212509841
658,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763213776502,1763214073536
661,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763214956639,1763215344761
664,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763217276475,1763217343606
667,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763217873372,1763218012478
670,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763218874985,1763219196262
673,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763219960103,1763220037659
676,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763220467244,1763220502860
679,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763220570998,1763220683898
682,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763221353885,1763221425074
687,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763221521565,1763221528323
692,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763222485273,1763222525391
695,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763222732219,1763222757014
698,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763222781708,1763222844850
701,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763223226006,1763223268185
704,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763223363139,1763223416583
708,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763225480066,1763225578479
711,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763225592594,1763225730866
714,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763226102000,1763226207882
717,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763226647729,1763226719698
720,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763227198539,1763227269164
723,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763227295923,1763227450589
726,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763228053196,1763228137673
729,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763228603399,1763228924369
732,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763233467744,1763233489342
735,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763234846155,1763235871018
738,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763235885156,1763236504061
741,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763237346826,1763237473531
744,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763237886942,1763238034099
748,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763238980005,1763239191090
751,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763241477622,1763241581823
754,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763242009696,1763242415408
757,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763242527812,1763247674366
766,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763278981236,1763285937667
769,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763289121769,1763289278477
772,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763289831385,1763290006941
775,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763290458217,1763290704164
778,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763290970292,1763290984480
781,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763291134669,1763291332143
784,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763292294275,1763292316403
787,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763292336439,1763293199173
790,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763293637698,1763293778801
795,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763294329039,1763295107286
798,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763295128802,1763295199939
801,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1763295326309,1763295389262
