local_timezone,episode_id,device_id,call_type,trace,start_timestamp,end_timestamp,timestamp,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
Europe/Berlin,5,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,f09eb6b60c2939b5584a783cec889d6b563663ad,1762788798837,1762788831837,1762788798837,2025-11-10 16:33:18,2025-11-10,16:33:18,16,33,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,5,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,f09eb6b60c2939b5584a783cec889d6b563663ad,1762788798837,1762788831837,1762788831837,2025-11-10 16:33:51,2025-11-10,16:33:51,16,33,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,6,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,f09eb6b60c2939b5584a783cec889d6b563663ad,1762789950302,1762789997302,1762789950302,2025-11-10 16:52:30,2025-11-10,16:52:30,16,52,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,6,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,f09eb6b60c2939b5584a783cec889d6b563663ad,1762789950302,1762789997302,1762789997302,2025-11-10 16:53:17,2025-11-10,16:53:17,16,53,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,7,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,a1ee9c168f0f1f44496ca59949a97409306a1f48,1762940820069,1762940820069,1762940820069,2025-11-12 10:47:00,2025-11-12,10:47:00,10,47,"[allday_RR0SS#2025-11-12 00:00:00,2025-11-13 00:00:00;1762902000000,1762988400999]|[morning_RR0SS#2025-11-12 05:00:00,2025-11-12 12:00:00;1762920000000,1762945200999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,7,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,a1ee9c168f0f1f44496ca59949a97409306a1f48,1762940820069,1762940820069,1762940820069,2025-11-12 10:47:00,2025-11-12,10:47:00,10,47,"[allday_RR0SS#2025-11-12 00:00:00,2025-11-13 00:00:00;1762902000000,1762988400999]|[morning_RR0SS#2025-11-12 05:00:00,2025-11-12 12:00:00;1762920000000,1762945200999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,8,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,b39f3e4874cd475198eaa91d75889daeab81f0e9,1762962821702,1762962827702,1762962821702,2025-11-12 16:53:41,2025-11-12,16:53:41,16,53,"[afternoon_RR0SS#2025-11-12 12:00:00,2025-11-12 17:00:00;1762945200000,1762963200999]|[allday_RR0SS#2025-11-12 00:00:00,2025-11-13 00:00:00;1762902000000,1762988400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,8,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,b39f3e4874cd475198eaa91d75889daeab81f0e9,1762962821702,1762962827702,1762962827702,2025-11-12 16:53:47,2025-11-12,16:53:47,16,53,"[afternoon_RR0SS#2025-11-12 12:00:00,2025-11-12 17:00:00;1762945200000,1762963200999]|[allday_RR0SS#2025-11-12 00:00:00,2025-11-13 00:00:00;1762902000000,1762988400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,9,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,7f49ba336e703b2da35b7eda3ad303bb28c5e762,1762965454129,1762965514128,1762965454129,2025-11-12 17:37:34,2025-11-12,17:37:34,17,37,"[allday_RR0SS#2025-11-12 00:00:00,2025-11-13 00:00:00;1762902000000,1762988400999]|[evening_RR0SS#2025-11-12 17:00:00,2025-11-12 22:00:00;1762963200000,1762981200999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,9,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,7f49ba336e703b2da35b7eda3ad303bb28c5e762,1762965454129,1762965514128,1762965514128,2025-11-12 17:38:34,2025-11-12,17:38:34,17,38,"[allday_RR0SS#2025-11-12 00:00:00,2025-11-13 00:00:00;1762902000000,1762988400999]|[evening_RR0SS#2025-11-12 17:00:00,2025-11-12 22:00:00;1762963200000,1762981200999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,9,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,7f49ba336e703b2da35b7eda3ad303bb28c5e762,1762965514129,1762965566129,1762965514129,2025-11-12 17:38:34,2025-11-12,17:38:34,17,38,"[allday_RR0SS#2025-11-12 00:00:00,2025-11-13 00:00:00;1762902000000,1762988400999]|[evening_RR0SS#2025-11-12 17:00:00,2025-11-12 22:00:00;1762963200000,1762981200999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,9,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,7f49ba336e703b2da35b7eda3ad303bb28c5e762,1762965514129,1762965566129,1762965566129,2025-11-12 17:39:26,2025-11-12,17:39:26,17,39,"[allday_RR0SS#2025-11-12 00:00:00,2025-11-13 00:00:00;1762902000000,1762988400999]|[evening_RR0SS#2025-11-12 17:00:00,2025-11-12 22:00:00;1762963200000,1762981200999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,10,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,7fd86b23ffd2836431bf036b9df6bc8ae6355ac7,1763205448781,1763205508780,1763205448781,2025-11-15 12:17:28,2025-11-15,12:17:28,12,17,"[afternoon_RR0SS#2025-11-15 12:00:00,2025-11-15 17:00:00;1763204400000,1763222400999]|[allday_RR1SS#2025-11-15 00:00:00,2025-11-16 00:00:00;1763161200000,1763247600999]|[wkend_RR0SS#2025-11-15 00:00:00,2025-11-17 00:00:00;1763161200000,1763334000999]"
Europe/Berlin,10,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,7fd86b23ffd2836431bf036b9df6bc8ae6355ac7,1763205448781,1763205508780,1763205508780,2025-11-15 12:18:28,2025-11-15,12:18:28,12,18,"[afternoon_RR0SS#2025-11-15 12:00:00,2025-11-15 17:00:00;1763204400000,1763222400999]|[allday_RR1SS#2025-11-15 00:00:00,2025-11-16 00:00:00;1763161200000,1763247600999]|[wkend_RR0SS#2025-11-15 00:00:00,2025-11-17 00:00:00;1763161200000,1763334000999]"
Europe/Berlin,10,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,7fd86b23ffd2836431bf036b9df6bc8ae6355ac7,1763205508781,1763205529781,1763205508781,2025-11-15 12:18:28,2025-11-15,12:18:28,12,18,"[afternoon_RR0SS#2025-11-15 12:00:00,2025-11-15 17:00:00;1763204400000,1763222400999]|[allday_RR1SS#2025-11-15 00:00:00,2025-11-16 00:00:00;1763161200000,1763247600999]|[wkend_RR0SS#2025-11-15 00:00:00,2025-11-17 00:00:00;1763161200000,1763334000999]"
Europe/Berlin,10,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,7fd86b23ffd2836431bf036b9df6bc8ae6355ac7,1763205508781,1763205529781,1763205529781,2025-11-15 12:18:49,2025-11-15,12:18:49,12,18,"[afternoon_RR0SS#2025-11-15 12:00:00,2025-11-15 17:00:00;1763204400000,1763222400999]|[allday_RR1SS#2025-11-15 00:00:00,2025-11-16 00:00:00;1763161200000,1763247600999]|[wkend_RR0SS#2025-11-15 00:00:00,2025-11-17 00:00:00;1763161200000,1763334000999]"
